Song,Sentiment
"Dancing Symphony Like a lighthouse in the storm, your love is my guide Our love's a melody that echoes through the night Our story is written in the stars above Just like the stars belong to the night Every heartbeat calls your name in a whisper In your eyes, I find my tomorrow Hand in hand, heart to heart, our souls take flight In the symphony of life, your heart's my favorite note",Positive
"Fading Passion In the symphony of life, your heart's my favorite note Just like the stars belong to the night Our story is written in the stars above Hand in hand, heart to heart, our souls take flight Our love's a melody that echoes through the night Like a lighthouse in the storm, your love is my guide Every heartbeat calls your name in a whisper In your eyes, I find my tomorrow",Positive
"Eternal Rain Now I walk this path alone, where once we walked together Love's tender flame has faded into the cold shadow of the past In the garden of our love, the roses wilt and wither Tears fall silently, blurring yesterday's joy Your absence is a silent scream that echoes within Echoes of your voice haunt my dreams A single picture, a thousand shattered memories Time stands still in the room where we laughed",Negative
"Lonely Fiesta Sway to the rhythm; let the moment be your guide Surrender to the beat, and let the music take control Celebrate the night as if there's no sunrise to meet In the rhythm of the night, we find freedom With every pulse, our spirits are unified The city's alive with the sound of the beat Let the DJ be the architect of our escapade Tonight, we're the kings and queens of the dance floor",Negative
"Shattered Promises Like a lighthouse in the storm, your love is my guide Our love's a melody that echoes through the night Our story is written in the stars above In the symphony of life, your heart's my favorite note Just like the stars belong to the night Every heartbeat calls your name in a whisper In your eyes, I find my tomorrow Hand in hand, heart to heart, our souls take flight",Positive
"Shattered Whispers Our love's a melody that echoes through the night Just like the stars belong to the night In your eyes, I find my tomorrow Like a lighthouse in the storm, your love is my guide Every heartbeat calls your name in a whisper In the symphony of life, your heart's my favorite note Our story is written in the stars above Hand in hand, heart to heart, our souls take flight",Positive
"Shattered Tears A single picture, a thousand shattered memories Love's tender flame has faded into the cold shadow of the past Echoes of your voice haunt my dreams In the garden of our love, the roses wilt and wither Time stands still in the room where we laughed Your absence is a silent scream that echoes within Now I walk this path alone, where once we walked together Tears fall silently, blurring yesterday's joy",Negative
"Lonely Promises Like a lighthouse in the storm, your love is my guide Just like the stars belong to the night In the symphony of life, your heart's my favorite note In your eyes, I find my tomorrow Our love's a melody that echoes through the night Every heartbeat calls your name in a whisper Our story is written in the stars above Hand in hand, heart to heart, our souls take flight",Positive
"Shattered Goodbye In the garden of our love, the roses wilt and wither Your absence is a silent scream that echoes within Echoes of your voice haunt my dreams Tears fall silently, blurring yesterday's joy Time stands still in the room where we laughed A single picture, a thousand shattered memories Now I walk this path alone, where once we walked together Love's tender flame has faded into the cold shadow of the past",Negative
"Dancing Celebration Tonight, we're the kings and queens of the dance floor Celebrate the night as if there's no sunrise to meet With every pulse, our spirits are unified Let the DJ be the architect of our escapade In the rhythm of the night, we find freedom Surrender to the beat, and let the music take control The city's alive with the sound of the beat Sway to the rhythm; let the moment be your guide",Negative
"Eternal Memories A single picture, a thousand shattered memories Echoes of your voice haunt my dreams Your absence is a silent scream that echoes within Tears fall silently, blurring yesterday's joy Time stands still in the room where we laughed In the garden of our love, the roses wilt and wither Now I walk this path alone, where once we walked together Love's tender flame has faded into the cold shadow of the past",Positive
"Fading Memories Tears fall silently, blurring yesterday's joy Time stands still in the room where we laughed A single picture, a thousand shattered memories Now I walk this path alone, where once we walked together Your absence is a silent scream that echoes within Echoes of your voice haunt my dreams In the garden of our love, the roses wilt and wither Love's tender flame has faded into the cold shadow of the past",Positive
"Whispering Courage Let your spirit soar on the possibilities of the horizon Dare to reach out and touch the fabric of your dreams Stand tall against the roaring wind Dreams take flight on the wings of courage Every challenge is a melody of triumph waiting to be sung In the canvas of the night sky, your light's the brightest star We are the authors of our destiny, the painters of our dreams Forge your path with the iron of your will and the fire of your heart",Positive
"Dancing Passion Like a lighthouse in the storm, your love is my guide In the symphony of life, your heart's my favorite note Hand in hand, heart to heart, our souls take flight Just like the stars belong to the night In your eyes, I find my tomorrow Our story is written in the stars above Every heartbeat calls your name in a whisper Our love's a melody that echoes through the night",Very positive
"Lonely Dance Tonight, we're the kings and queens of the dance floor Surrender to the beat, and let the music take control The city's alive with the sound of the beat Sway to the rhythm; let the moment be your guide In the rhythm of the night, we find freedom With every pulse, our spirits are unified Celebrate the night as if there's no sunrise to meet Let the DJ be the architect of our escapade",Positive
"Dancing Lights With every pulse, our spirits are unified Surrender to the beat, and let the music take control Tonight, we're the kings and queens of the dance floor Sway to the rhythm; let the moment be your guide Celebrate the night as if there's no sunrise to meet In the rhythm of the night, we find freedom Let the DJ be the architect of our escapade The city's alive with the sound of the beat",Negative
